Id,FirstName,LastName,username,email,UPN,streetaddress,city,zipcode,state,country,telephone,department,password,jobtitle,company,extra,ou
1,Raj,Singh,raj,raj.singh@cwp.inside,raj.singh@cwp.inside,,,,,,,HR,Microsoft$2023,,Techjack,,"OU=HR,DC=cwp,DC=inside"
2,Sofia,Johnson,sofia,sofia.johnson@cwp.inside,sofia.johnson@cwp.inside,,,,,,,HR,Microsoft$2023,,Techjack,,"OU=HR,DC=cwp,DC=inside"
3,Flora,Robbins,flora,flora.robbins@cwp.inside,flora.robbins@cwp.inside,,,,,,,HR,Microsoft$2023,,Techjack,,"OU=HR,DC=cwp,DC=inside"
4,Anna,Schmidt,anna,anna.schmidt@cwp.inside,anna.schmidt@cwp.inside,,,,,,,HR,Microsoft$2023,,Techjack,,"OU=HR,DC=cwp,DC=inside"
5,Maria,Taylor,maria,maria.taylor@cwp.inside,maria.taylor@cwp.inside,,,,,,,HR,Microsoft$2023,,Techjack,,"OU=HR,DC=cwp,DC=inside"
6,Laura,Brown,laura,laura.brown@cwp.inside,laura.brown@cwp.inside,,,,,,,HR,Microsoft$2023,,Techjack,,"OU=HR,DC=cwp,DC=inside"
7,Giulia,Wilson,giulia,giulia.wilson@cwp.inside,giulia.wilson@cwp.inside,,,,,,,IT,Microsoft$2023,,Techjack,,"OU=IT,DC=cwp,DC=inside"
8,Isabella,Martin,isabella,isabella.martin@cwp.inside,isabella.martin@cwp.inside,,,,,,,IT,Microsoft$2023,,Techjack,,"OU=IT,DC=cwp,DC=inside"
9,Elena,Anderson,elena,elena.anderson@cwp.inside,elena.anderson@cwp.inside,,,,,,,IT,Microsoft$2023,,Techjack,,"OU=IT,DC=cwp,DC=inside"
10,Alice,Martinez,alice,alice.martinez@cwp.inside,alice.martinez@cwp.inside,,,,,,,IT,Microsoft$2023,,Techjack,,"OU=IT,DC=cwp,DC=inside"
11,Sophie,Garcia,sophie,sophie.garcia@cwp.inside,sophie.garcia@cwp.inside,,,,,,,IT,Microsoft$2023,,Techjack,,"OU=IT,DC=cwp,DC=inside"
12,Charlotte,Rossi,charlotte,charlotte.rossi@cwp.inside,charlotte.rossi@cwp.inside,,,,,,,IT,Microsoft$2023,,Techjack,,"OU=IT,DC=cwp,DC=inside"
13,Amelia,Martenez,amelia,amelia.martenez@cwp.inside,amelia.martenez@cwp.inside,,,,,,,Marketing,Microsoft$2023,,Techjack,,"OU=Marketing,DC=cwp,DC=inside"
14,Olivia,Lopez,olivia,olivia.lopez@cwp.inside,olivia.lopez@cwp.inside,,,,,,,Marketing,Microsoft$2023,,Techjack,,"OU=Marketing,DC=cwp,DC=inside"
